Text,Sentiment,Timestamp
ยอดเยี่ยม,pos,12/6/2021 22:12:39
เป็นประโยชน์มากเลยครับ,pos,12/6/2021 22:13:11
แย่มาก,neg,12/6/2021 22:15:30
ผมอยากรู้ระหว่างทอนกับทาชิตัวไหนมันดีกว่ากันหรอครับ,neu,12/6/2021 22:16:58
ลงคลิปบ่อยๆนะคะ พูดเก่งมาก สาระก็มี ติดตามๆค่ะ ชอบที่เล่นโรมให้ดูบ่อยๆ แนะวิธีเดินเกม 💕,pos,12/6/2021 23:06:23
สอนดีมากครับ อยากให้ลงคลิปทุกวันเลย ปกติผมชอบดูคลิปพี่ตอนกินข้าว,pos,12/6/2021 23:07:43
พูดคล่องมากเลยครับ,pos,12/6/2021 23:08:17
เล่นเซียนมากๆครับ,pos,12/6/2021 23:09:18
เหมือนเก่งอะ แต่กาก,neg,12/6/2021 23:19:35
สุดยอดครับ ชอบคลิปนี้เลย,pos,12/6/2021 23:21:38
คอมโบไปยกทีม สุดยอดครับ,pos,12/6/2021 23:21:58
เสียงพี่น่ารักมากครับ,pos,12/6/2021 23:23:44
ไอเดีย คอมโบดีมาก,pos,12/6/2021 23:23:55
ขอชื่อเพลงไฮไลท์หน่อยครับ,neu,12/6/2021 23:25:49
กบ+คีร่า เป็นอะไรที่เข้ากันมากครับ กบกดอัลติ คีร่าหายตัววิ่งอย่างเร็ว อีกฝั่งรู้ตัวก็ตายแล้ว55555,neu,12/6/2021 23:26:29
ทาจิยังใช้เซ็ตเดิมได้มั้ยครับแพทล่าสุด,neu,12/6/2021 23:26:40
ไม่รู้ทําไมเวลาหัดเล่นต้องเจอพวกเก่งๆทั้งนั้น,neu,12/6/2021 23:29:42
เสียงพากย์เบาครับ,neg,12/6/2021 23:34:35
สอนดีมาก ขอให้ช่องโตไวๆนะครับ,pos,12/6/2021 23:52:01
ทำอาหารอร่อยจัง,pos,12/6/2021 23:53:12
พูดชัดๆ ช้าๆ เรียบเรียงข้อความ จะน่าดูมาก,neg,12/6/2021 23:56:13
วิธีพูดดูเป็นธรรมชาติมากค่ะ,pos,12/7/2021 0:01:06
หมาตัวนี้อ้วนมากเลย,neg,12/7/2021 0:07:15
ได้เวลา อู้งาน นั่งดูยาวๆ,pos,12/7/2021 0:11:54
ภาคก่อนตามหาเมีย ภาคนี้ตามหาลูก,neu,12/7/2021 0:12:07
รอมานาน เพราะไม่กล้าเล่นเอง,neu,12/7/2021 0:12:20
ทางตรงคือทางที่ดีที่สุด แต่ตอนแข่งคือทางไหนไม่รู้ เน้นไม่อยู่ในถนน ก็เหมือนสบายใจกันละ555555555,neu,12/7/2021 0:13:27
ฮามากครับ,pos,12/7/2021 0:15:30
ฮาเสียงหัวเราะพี่มากอ่ะ555555,pos,12/7/2021 0:16:16
เกมนี้มีโรคจิตนิดๆนะ(เลือดสาด),neu,12/7/2021 0:16:32
ขำท้องแข็งอ่ะ,pos,12/7/2021 0:16:56
มาแล้ววววววววว,neu,12/7/2021 0:17:22
ทำไมรู้สึกรำคาญ พี่เล่นเยอะไปบางที,neg,12/7/2021 0:18:19
ดูพวกพี่ละหายเครียด,pos,12/7/2021 0:21:15
ดูเพลินมากครับ,pos,12/7/2021 0:23:09
พี่ลอกคลิปเค้ามานี่ครับ ฝรังเคยทำแล้ว,neg,12/7/2021 0:23:52
เม้นแรก,neu,12/7/2021 16:25:49
โคตรสนุก 2ชม อย่างเพลินเลย,pos,12/7/2021 16:27:00
รู้สึกเหมือนผ่านสงครามมา 2 พันปี,neu,12/7/2021 16:28:05
พ่อมึงตาย,neg,12/7/2021 16:30:02
อันนี้เกมไรครับ,neu,12/7/2021 16:31:06
ดิสไลค์แรก,neg,12/7/2021 16:31:38
โคตรฮา5555,pos,12/7/2021 16:32:16
พี่แม่งน่าต่อยจริง,neg,12/7/2021 16:33:10
อคติสุดๆ,neg,12/7/2021 16:54:40
แข่งอีกทีวันไหนครับ,neu,12/7/2021 21:01:03
แข่งอีกทีวันไหน,neu,12/7/2021 21:02:37
มันมากชอบโครตๆ อยากให้มีอีก,pos,12/7/2021 21:06:09
ดูเพลินมาก,pos,12/7/2021 21:07:08
555555555555ชั้นชอบความสวมบทบาทมาก โคตรตลก,pos,12/7/2021 21:10:21
สอนเล่นป่าแพทใหม่หน่อยค่ะ,neu,12/7/2021 21:13:10
สุดยอด,pos,12/7/2021 21:13:46
ปรับทุกตัวที่ผมเล่นเลย,neu,12/7/2021 21:15:12
เกมนี้2ปีแล้วครับ,neu,12/7/2021 21:20:01
ผมว่าต้องอัพคอมแล้วแหละครับ,neu,12/7/2021 21:21:03
เหมือนโดนจ้างมาขายของ 55555,neg,12/7/2021 21:21:16
ควายเอ๊ย เล่นโง่ๆ,neg,12/7/2021 21:22:03
ไม่มีสมองหรอ,neg,12/7/2021 21:22:17
ควย,neg,12/7/2021 21:22:43
ที่มาของคำว่า หนอนแตกแล้วแยกทาง,neu,12/7/2021 21:23:23
ขำแห้งมาก ดูปลอม,neg,12/7/2021 21:23:41
อย่างปั่นอะ 55555,pos,12/7/2021 21:24:11
สวัสดี​,neu,12/7/2021 21:25:07
ปวดหัวว่ะ,neg,12/7/2021 21:25:34
เกมกี่บาทครับ,neu,12/7/2021 21:29:47
kuy,neg,12/7/2021 21:49:19
555,pos,12/7/2021 21:49:42
โหดเกิ้นครับ,neu,12/7/2021 21:50:00
แย่,neg,12/7/2021 21:50:10
ดี,pos,12/7/2021 21:50:16
ไม่ดี,neg,12/7/2021 21:50:24
ไร้สาระ,neg,12/7/2021 21:50:47
เลิกเถอะ,neg,12/7/2021 21:52:16
สุดยอดครับ,pos,12/7/2021 21:52:29
ไอสัส,neg,12/7/2021 22:00:53
ควยเหอะ,neg,12/7/2021 22:01:01
ดูกี่รอบก็ไม่มีเบื่อจริงๆ,pos,12/8/2021 0:44:51
ตัดต่อดี,pos,12/8/2021 0:47:19
จะหารูปพวกนี้ในเน็ตต้อง search ว่าอะไรเหรอครับ,neu,12/8/2021 0:48:45
ชอบเสียงหัวเราะของพี่,pos,12/8/2021 0:53:40
กระจอกว่ะ,neg,12/8/2021 0:54:10
อ่อน,neg,12/8/2021 0:54:25
ผิดหวังจัด,neg,12/8/2021 0:58:32
ตารางคะแนน ดูที่ไหนครับ ?,neu,12/8/2021 0:59:18
น่ารําคาญ,neg,12/8/2021 1:00:29
นอกเรื่องเยอะมาก เข้าใจนะว่าในเกมมันไม่มีอะไร แต่มันเยอะไปนะบางที,neg,12/8/2021 1:01:18
อะไรก็เกิดขึ้นได้ครับ,neu,12/8/2021 1:04:02
ไม่ไหวแล้ว หมดสภาพ เล่นหลุดมาก,neg,12/8/2021 1:05:29
โคตรแจก555,neg,12/8/2021 1:05:40
คิดเหมือนกัน,neu,12/8/2021 1:06:32
ดราฟตัวก็รู้แล้วว่าแพ้แน่นอน,neg,12/8/2021 1:08:07
ไก่,neg,12/8/2021 1:08:19
เล่นกาก ปากเก่ง,neg,12/8/2021 1:08:37
มันนับแต้มยังไงครับ,neu,12/8/2021 1:09:11
อะไรของมึง,neg,12/8/2021 1:10:20
ใช้ได้,pos,12/8/2021 1:11:09
ค้างบ่อยเกิน,neg,12/8/2021 1:13:52
เสียงเบาอะ,neg,12/8/2021 1:15:06
ขยะ,neg,12/8/2021 1:15:40
